InvokeActionAsync -> /api/images/clear -> DELETE
OnActionExecuted controller:Home action:GetImage
OnActionExecuted controller:Home action:Error
OnActionExecuted controller:Home action:GetImage
2015-09-05 18:49:18.983 -> REQUEST_URL:http://localhost:5615/,REFERRER_URL:, IP_ADDRESS:::1, controller:Home -> action:GetImage
2015-09-07 15:24:33.489 -> http://localhost:5615/api/settings?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png&width=400&height=200&deviceType=2, N/A,  ::1, InvokeActionAsync -> PUT -> /api/settings.
2015-09-07 15:25:43.962 -> http://localhost:5615/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, controller:Home -> action:GetImage
2015-09-07 15:26:18.064 -> http://localhost:5615/api/settings?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png&width=100&height=500&deviceType=2, N/A,  ::1, InvokeActionAsync -> PUT -> /api/settings.
2015-09-07 15:26:40.339 -> http://localhost:5615/api/images/clear/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, InvokeActionAsync -> DELETE -> /api/images/clear/.
2015-09-07 15:30:10.412 -> http://localhost:5615/, N/A,  ::1, controller:Home -> action:GetImage
2015-09-07 15:30:23.460 -> http://localhost:5615/api/settings?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png&width=100&height=500&deviceType=2, N/A,  ::1, InvokeActionAsync -> PUT -> /api/settings.
2015-09-07 15:30:32.218 -> http://localhost:5615/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, controller:Home -> action:GetImage
2015-09-07 15:31:31.547 -> http://localhost:5615/api/images/clear/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, InvokeActionAsync -> DELETE -> /api/images/clear/.
2015-09-07 15:31:48.269 -> http://localhost:5615/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, controller:Home -> action:GetImage
2015-09-07 15:31:59.053 -> http://localhost:5615/api/settings/clear, N/A,  ::1, InvokeActionAsync -> DELETE -> /api/settings/clear.
2015-09-07 15:32:05.288 -> http://localhost:5615/api/images/clear, N/A,  ::1, InvokeActionAsync -> DELETE -> /api/images/clear.
2015-09-07 15:32:12.660 -> http://localhost:5615/api/settings?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png&width=100&height=500&deviceType=2, N/A,  ::1, InvokeActionAsync -> PUT -> /api/settings.
2015-09-07 15:33:04.121 -> http://localhost:5615/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, controller:Home -> action:GetImage
2015-09-07 15:35:03.375 -> http://localhost:5615/api/settings?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png&width=100&height=500&deviceType=2, N/A,  ::1, InvokeActionAsync -> PUT -> /api/settings.
2015-09-07 15:35:06.026 -> http://localhost:5615/api/settings/clear, N/A,  ::1, InvokeActionAsync -> DELETE -> /api/settings/clear.
2015-09-07 15:35:12.310 -> http://localhost:5615/api/images/clear, N/A,  ::1, InvokeActionAsync -> DELETE -> /api/images/clear.
2015-09-07 15:35:22.066 -> http://localhost:5615/api/settings?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png&width=400&height=200&deviceType=0, N/A,  ::1, InvokeActionAsync -> PUT -> /api/settings.
2015-09-07 15:35:31.341 -> http://localhost:5615/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, controller:Home -> action:GetImage
2015-09-07 15:35:36.248 -> http://localhost:5615/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, controller:Home -> action:GetImage
2015-09-07 15:35:48.150 -> http://localhost:5615/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, controller:Home -> action:GetImage
2015-09-07 15:36:17.775 -> http://localhost:5615/api/settings?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png&width=400&height=200&deviceType=0, N/A,  ::1, InvokeActionAsync -> PUT -> /api/settings.
2015-09-07 15:36:20.052 -> http://localhost:5615/api/settings/clear, N/A,  ::1, InvokeActionAsync -> DELETE -> /api/settings/clear.
2015-09-07 15:36:23.849 -> http://localhost:5615/api/settings?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png&width=400&height=200&deviceType=0, N/A,  ::1, InvokeActionAsync -> PUT -> /api/settings.
2015-09-07 15:37:04.876 -> http://localhost:5615/?url=http://upload.wikimedia.org/wikipedia/sr/0/0c/Firefox-logo.png, N/A,  ::1, controller:Home -> action:GetImage
